ID,Nome,Descrição,Categoria,Marca,Unidade de Medida,Valor Máximo,Status
74,"Açúcar Branco 2kg","Açúcar cristal","Mercearia","Marca genérica",uni,5.20,Ativo
75,"Cream Cheese Polenghi 1.5kg","Cream cheese Polenghi","Mercearia","Polenghi",uni,73.50,Ativo
76,"Gás Butano","Gás Butano 227g","Utensílios","Marca genérica",uni,20.00,Ativo
77,"Pimenta do Reino 100g","","Condimentos","Marca genérica",uni,39.00,Ativo
79,"Sal branco","","Condimentos","Marca genérica",uni,4.80,Ativo
80,"Coca Cola zero açúcar","","Bebidas","Coca Cola",uni,4.00,Ativo
81,"Sprite lata","","Bebidas","Coca Cola",uni,3.50,Ativo
82,"Wasabi Maki 1kg","Wasabi Maki 1kg","Oriental","Maki",uni,59.50,Ativo
83,"Alga Nori Gold 140g","Alga Nori Gold 140g","Oriental","Maki",uni,52.00,Ativo
84,"Arroz Minami Mai Curto 5kg","Arroz Minami Mai Curto 5kg","Oriental","Minami",uni,74.00,Ativo
85,"Gengibre Maki 1kg","Gengibre Maki","Oriental","Maki",uni,58.00,Ativo
91,"Limão Taiti","","Hortifruti","Marca genérica",kg,4.00,Ativo
94,"Amido de milho 500g ","É um pó fino, branco e neutro, ideal para engrossar molhos","Mercearia","Marca genérica",uni,6.00,Ativo
95,"Coca Cola Lata","","Bebidas","Marca genérica",uni,6.00,Ativo
96,"Água C/ Gás","","Bebidas","Marca genérica",uni,4.00,Ativo
97,"Água S/ Gás","","Bebidas","Marca genérica",uni,4.00,Ativo
98,"Sprite 0 Açúcar","","Bebidas","Coca Cola",uni,6.00,Ativo
99,"Coca Cola 1L","","Bebidas","Coca Cola",uni,8.00,Ativo
100,"Guaraná Antarctica Lata","","Bebidas","Coca Cola",uni,6.00,Ativo
101,"Guaraná lata Zero","","Bebidas","Coca Cola",uni,6.00,Ativo
102,"Manteiga 500g","","Mercearia","Marca genérica",uni,30.00,Ativo
103,"Sal Grosso","","Mercearia","Marca genérica",uni,5.00,Ativo
104,"Amido de Milho 1Kg","","Mercearia","Marca genérica",uni,15.00,Ativo
105,"Amido de milho 5kg","","Mercearia","Marca genérica",uni,60.00,Ativo
106,"Farinha de Trigo 1kg","","Mercearia","Marca genérica",uni,7.00,Ativo
107,"Moedor de Gergelim","","Utensílios","Marca genérica",uni,20.00,Ativo
108,"Molho de Ostras Maki 1.98L","","Molhos","Maki",uni,60.00,Ativo
113,"Shoyu Mitsuwa 20L","","Molhos","Mitsuwa",uni,200.00,Ativo
114,"Shoyu Mitsuwa 250 Unid.","","Molhos","Mitsuwa",uni,40.00,Ativo
115,"Sweet Chilli Pantai 200ml","","Molhos","Pantai",uni,100.00,Ativo
116,"Sweet Chilli Pantai 4,5L","","Molhos","Pantai",uni,200.00,Ativo
117,"Óleo de Gergelim Hot Wok 1L","","Óleos","Hot Wok",uni,90.00,Ativo
118,"Óleo de Gergelim Torrado Hong Kong 1L","","Óleos","Hong Kong",uni,120.00,Ativo
119,"Óleo de Soja 900ml","","Óleos","Marca genérica",uni,10.00,Ativo
120,"Azeite","","Óleos","Marca genérica",uni,20.00,Ativo
121,"Óleo De Algodão Elogiata 14,5kg","","Óleos","Elogiata",uni,200.00,Ativo
123,"Alho","","Hortifruti","Marca genérica",kg,20.00,Ativo
124,"Alho Poró","","Hortifruti","Marca genérica",kg,50.00,Ativo
125,"Brócolis","","Hortifruti","Marca genérica",kg,50.00,Ativo
126,"Cebola Roxa","","Hortifruti","Marca genérica",kg,20.00,Ativo
127,"Cebolinha","","Hortifruti","Marca genérica",uni,6.00,Ativo
128,"Cenoura","","Hortifruti","Marca genérica",kg,50.00,Ativo
129,"Chuchu","","Hortifruti","Marca genérica",kg,50.00,Ativo
130,"Coentro","","Hortifruti","Marca genérica",uni,7.00,Ativo
131,"Água Tônica","","Bebidas","Marca genérica",uni,7.00,Ativo
132,"Alga Kombu","","Oriental","Marca genérica",uni,40.00,Ativo
133,"Maionese Kiwpie 450g","","Mercearia","Kiwpie",uni,100.00,Ativo
136,"Amêndoa Laminada Osara 1kg","","Oriental","Osara",uni,100.00,Ativo
137,"Arroz Mirokumai Curto 5kg","","Oriental","Mirokumai",uni,120.00,Ativo
138,"Cream Cheese Catupiry 1.2kg","","Mercearia","Catupiry",uni,90.00,Ativo
139,"Cream Cheese Philadelphia 1.5kg","","Mercearia","Philadelphia",uni,90.00,Ativo
140,"Cream Cheese Polenghi 1kg","","Mercearia","Polenghi",uni,100.00,Ativo
141,"Cream Cheese Santa Maria 1kg","","Mercearia","Marca genérica",uni,50.00,Ativo
142,"Farinha Panko Alfa 1kg","","Oriental","Alfa",uni,25.00,Ativo
143,"Gergelim Branco 1kg","","Oriental","Marca genérica",uni,35.00,Ativo
144,"Gergelim Misto 1kg","","Oriental","Marca genérica",uni,42.00,Ativo
145,"Gergelim Preto 1kg","","Oriental","Marca genérica",uni,40.00,Ativo
146,"Maionese KiwPie 1Kg","","Mercearia","Kiwpie",uni,200.00,Ativo
147,"Maionese Kiwpie 350g","","Mercearia","Kiwpie",uni,150.00,Ativo
149," Adaptador de Hashi","","Utensílios","Marca genérica",uni,10.00,Ativo
150,"Esteira de Bambu","","Utensílios","Marca genérica",uni,50.00,Ativo
151,"Maçarico Maki","","Utensílios","Marca genérica",uni,100.00,Ativo
152,"Plástico Filme","","Utensílios","Marca genérica",uni,20.00,Ativo
153,"Touca Descartável","","Utensílios","Marca genérica",uni,20.00,Ativo
154,"Cebola","","Hortifruti","Marca genérica",kg,6.00,Ativo
155," Couve Flor","","Hortifruti","Marca genérica",kg,20.00,Ativo
156,"Couve Maço","","Hortifruti","Marca genérica",uni,6.00,Ativo
157,"Salmão 10/12 Caixa","","Proteínas","Marca genérica",kg,65.00,Ativo
158,"Salmão 12/14 Caixa","","Proteínas","Marca genérica",kg,70.00,Ativo
159,"Salmão limpo","","Proteínas","Marca genérica",kg,70.00,Ativo
160,"Filé de Peito de Frango","","Proteínas","Marca genérica",kg,30.00,Ativo
161,"Patinho Bovino","","Proteínas","Marca genérica",kg,40.00,Ativo
162,"Filé de Tilápia (Pacote 5kg)","","Proteínas","Marca genérica",kg,40.00,Ativo
163," Gengibre Raiz","","Hortifruti","Marca genérica",kg,30.00,Ativo
164,"Laranja","","Hortifruti","Marca genérica",kg,20.00,Ativo
165,"Mandioca 1Kg","","Hortifruti","Marca genérica",uni,20.00,Ativo
166,"Morango","","Hortifruti","Marca genérica",uni,25.00,Ativo
167,"Pepino","","Hortifruti","Marca genérica",kg,15.00,Ativo
168,"Pimenta Dedo de Moça","","Hortifruti","Marca genérica",kg,110.00,Ativo
169,"Pimentão Amarelo","","Hortifruti","Marca genérica",kg,20.00,Ativo
170,"Repolho Roxo","","Hortifruti","Marca genérica",kg,30.00,Ativo
171,"Repolho Verde","","Hortifruti","Marca genérica",kg,15.00,Ativo
172,"Tomate Cereja","","Hortifruti","Marca genérica",uni,15.00,Ativo
173,"Batata Doce","","Hortifruti","Marca genérica",kg,15.00,Ativo
174,"Poupa Maracujá ","","Hortifruti","Marca genérica",uni,30.00,Ativo
175,"Saquê Licoroso Mirin Azuma 5L","","Molhos","Azuma",uni,140.00,Ativo
176,"Molho de Ostras Maki 510ml","","Molhos","Maki",uni,16.00,Ativo
177,"Shoyu Sakura 20L","","Molhos","Sakura",uni,300.00,Ativo
178,"Sweet Chilli Kikkoman 5L","","Molhos","Kikkoman",uni,250.00,Ativo
179,"Sweet Chilli Sauce Pantai 700ml","","Molhos","Pantai",uni,100.00,Ativo
180,"Perfex 240 Metros 600 Panos Colorido","","Limpeza","Marca genérica",uni,130.00,Ativo
181,"Camarão Cinza 1kg","","Frutos do Mar","Marca genérica",kg,70.00,Ativo
182,"Kani Kama Foods 1KG","","Proteínas","Marca genérica",uni,45.00,Ativo
183,"Biscoito da Sorte","","Embalagens","Marca genérica",uni,10.00,Ativo
184,"Embalagem Adicional Molho","","Embalagens","Marca genérica",uni,15.00,Ativo
185,"Embalagem G640","","Embalagens","Marca genérica",uni,20.00,Ativo
186,"Embalagem G681 (Bolinho)","","Embalagens","Marca genérica",uni,20.00,Ativo
187,"Hashi Taiksu","","Embalagens","Marca genérica",uni,10.00,Ativo
188,"Saco de Kit (490 unid)","","Embalagens","Marca genérica",uni,20.00,Ativo
191,"Bandeja de Isopor","","Embalagens","Marca genérica",uni,100.00,Ativo
192,"Embalagem G640D","","Embalagens","Marca genérica",uni,10.00,Ativo
193,"Embalagem G645","","Embalagens","Marca genérica",uni,10.00,Ativo
194,"Embalagem para Molho","","Embalagens","Marca genérica",uni,10.00,Ativo
195,"Sacola Branca","","Embalagens","Marca genérica",uni,10.00,Ativo
197,"200x Embalagem Poke G","","Embalagens","Marca genérica",uni,400.00,Ativo
198,"Embalagem Poke G ","","Embalagens","Marca genérica",uni,400.00,Ativo
199,"Embalagem Poke P ","","Embalagens","Marca genérica",uni,300.00,Ativo
200,"200x Embalagem Poke P","","Embalagens","Marca genérica",uni,300.00,Ativo
201,"Sacola Kraft G ","","Embalagens","Marca genérica",uni,400.00,Ativo
202,"400x Sacola Kraft G ","","Embalagens","Marca genérica",uni,400.00,Ativo
203,"Sacola Kraft P","","Embalagens","Marca genérica",uni,390.00,Ativo
204,"600x Sacola Kraft P ","","Embalagens","Marca genérica",uni,390.00,Ativo
208,"Hondashi Ajinomoto 500g","","Condimentos","Ajinomoto",uni,100.00,Ativo
209,"Flor de Sal 1kg","","Condimentos","Marca genérica",uni,50.00,Ativo
212,"Glutamato Taichi 1kg","","Condimentos","Taichi",uni,50.00,Ativo
213,"Macarrão Yakisoba Premium Alfa 500g","","Oriental","Alfa",uni,20.00,Ativo
214,"Molho de Ostras Maki 2,27kg","","Molhos","Maki",uni,80.00,Ativo
215,"Tempero para Sushi Castelo 5L","","Condimentos","Castelo",uni,60.00,Ativo
216,"Vinagre Castelo 20L","","Condimentos","Castelo",uni,150.00,Ativo
217,"500x Embalagem G","","Embalagens","Marca genérica",uni,800.00,Ativo
219,"Embalagem G","","Embalagens","Marca genérica",uni,900.00,Ativo
220,"500x Embalagem M","","Embalagens","Marca genérica",uni,800.00,Ativo
221,"Embalagem M","","Embalagens","Marca genérica",uni,800.00,Ativo
222,"500x Embalagem Yakisoba","","Embalagens","Marca genérica",uni,950.00,Ativo
223,"200x Embalagem Gaveta","","Embalagens","Marca genérica",uni,700.00,Ativo
224,"700x Embalagem P","","Embalagens","Marca genérica",uni,700.00,Ativo
225,"Embalagem P","","Embalagens","Marca genérica",uni,700.00,Ativo
226,"Embalagem Gaveta ","","Embalagens","Marca genérica",uni,700.00,Ativo
227,"Embalagem Yakisoba ","","Embalagens","Marca genérica",uni,950.00,Ativo
